Index,School Name,School Type,Starting Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career Median Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Latitude,Longitude
67,Oberlin College,Liberal Arts,43400,44900,46400,81600,128000,128000,41.291992,-82.216795
68,University of Puget Sound,Liberal Arts,46600,48900,60100,81500,104000,137000,47.26308,-122.478982
69,Colorado College,Liberal Arts,38500,40750,43000,81400,148000,148000,38.84886,-104.822697
70,Reed College,Liberal Arts,40500,53950,67400,81100,101000,101000,45.480959,-122.630348
71,Gustavus Adolphus College,Liberal Arts,44500,46900,49300,80600,101000,101000,44.323626,-93.972196
72,Whitman College,Liberal Arts,43500,54150,64800,80100,111000,111000,46.069815,-118.331546
73,Ursinus College,Liberal Arts,42100,35600,54300,80000,100000,160000,40.193023,-75.456505
74,Juniata College,Liberal Arts,41800,54500,67200,78900,110000,110000,40.500523,-78.017292
75,Wittenberg University,Liberal Arts,39200,46650,54100,78200,131000,131000,39.934029,-83.815445
76,Grinnell College,Liberal Arts,42600,53850,65100,76600,116000,116000,41.747952,-92.722094
77,Skidmore College,Liberal Arts,41600,42200,42800,74600,147000,147000,43.097035,-73.785335
78,Moravian College,Liberal Arts,42500,49600,56700,74400,94900,94900,40.630947,-75.383638
79,Lewis and Clark College,Liberal Arts,38900,38200,53400,72600,104000,140000,45.450882,-122.669137
80,Fort Lewis College,Liberal Arts,42000,48500,55000,69800,94000,94000,37.275939,-107.867422
81,Thomas Aquinas College,Liberal Arts,41500,43050,44600,67500,93100,93100,34.429009,-119.087141
82,Evergreen State College,Liberal Arts,39500,38800,47200,63900,91600,120000,47.07382,-122.977492
83,Dartmouth College,Ivy League,58000,63100,90200,134000,234000,321000,43.704115,-72.289949
84,Princeton University,Ivy League,66500,68900,100000,131000,190000,261000,40.348732,-74.659365
85,Yale University,Ivy League,59100,58000,80600,126000,198000,326000,41.311158,-72.926688
86,Harvard University,Ivy League,63400,54800,86200,124000,179000,288000,42.374471,-71.118313
87,University of Pennsylvania,Ivy League,60900,55900,79200,120000,192000,282000,39.950929,-75.19391
88,Cornell University,Ivy League,60300,56800,79800,110000,160000,210000,42.4472,-76.483084
89,Brown University,Ivy League,56200,55400,74400,109000,159000,228000,41.82617,-71.40385
90,Columbia University,Ivy League,59400,50300,71900,107000,161000,241000,40.808286,-73.961885
91,University of California Berkeley,State,59900,59500,81000,112000,149000,201000,37.871918,-122.260463
92,University of Virginia,State,52700,52200,71800,103000,146000,215000,38.035665,-78.503428
93,Cal Poly San Luis Obispo,State,57200,55000,74700,101000,133000,178000,35.299513,-120.657311
94,University of California Los Angeles,State,52600,51300,72500,101000,139000,193000,34.068892,-118.443901
95,University of California San Diego,State,51100,51700,75400,101000,131000,177000,32.877749,-117.235866
96,University of California Davis,State,52300,52000,71600,99600,135000,202000,38.539667,-121.749567
97,University of Colorado Boulder,State,47100,51600,69000,97600,128000,187000,40.008781,-105.270823
98,University of California Irvine,State,48300,47800,66000,96700,123000,172000,33.648434,-117.841248
99,Texas AandM University,State,49700,51100,71300,96100,131000,171000,31.053407,-97.775182
100,Binghamton University,State,53600,50900,71200,95900,146000,201000,42.087868,-75.966889
