School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Latitude,Longitude
New Mexico State University,State,"$44,300.00 ","$79,500.00 ","$37,400.00 ","$53,800.00 ","$102,000.00 ","$131,000.00 ",32.281568,-106.752069
Lamar University,State,"$46,500.00 ","$79,400.00 ","$38,700.00 ","$51,600.00 ","$114,000.00 ","$158,000.00 ",30.042738,-94.072244
Mississippi State University,State,"$44,500.00 ","$79,300.00 ","$43,300.00 ","$58,800.00 ","$108,000.00 ","$151,000.00 ",33.454852,-88.790139
Colorado State University,State,"$44,800.00 ","$79,000.00 ","$43,800.00 ","$57,100.00 ","$112,000.00 ","$150,000.00 ",39.608848,-104.898051
Kansas State University,State,"$43,300.00 ","$79,000.00 ","$37,200.00 ","$54,100.00 ","$106,000.00 ","$138,000.00 ",39.188648,-96.581077
University of Wyoming,State,"$44,500.00 ","$78,700.00 ","$41,500.00 ","$54,000.00 ","$105,000.00 ","$145,000.00 ",41.311773,-105.57931
Utah State University,State,"$43,800.00 ","$78,700.00 ","$41,600.00 ","$55,400.00 ","$101,000.00 ","$132,000.00 ",41.740748,-111.81391
University of Wisconsin-Platteville,State,"$45,800.00 ","$78,500.00 ","$48,400.00 ","$61,200.00 ","$100,000.00 ","$139,000.00 ",42.733451,-90.48622
University of Oregon,State,"$42,200.00 ","$78,400.00 ","$38,100.00 ","$56,200.00 ","$117,000.00 ","$186,000.00 ",44.045146,-123.075792
University of Kentucky,State,"$42,800.00 ","$78,300.00 ","$43,000.00 ","$57,300.00 ","$107,000.00 ","$149,000.00 ",38.038911,-84.504747
University of New Hampshire,State,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 ",43.135934,-70.932465
University of Massachusetts-Boston,State,"$45,600.00 ","$78,200.00 ","$36,300.00 ","$53,800.00 ","$109,000.00 ","$151,000.00 ",42.312881,-71.036865
West Virginia University,State,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 ",39.634371,-79.954391
University of Maryland Baltimore County,State,"$47,000.00 ","$77,800.00 ","$46,900.00 ","$59,100.00 ","$105,000.00 ","$130,000.00 ",39.256686,-76.711607
North Dakota State University,State,"$45,100.00 ","$77,800.00 ","$39,000.00 ","$55,800.00 ","$100,000.00 ","$123,000.00 ",46.893127,-96.800838
State University of New York-Oswego,State,"$38,000.00 ","$77,800.00 ","$40,400.00 ","$53,000.00 ","$115,000.00 ","$169,000.00 ",43.454287,-76.540798
University of Massachusetts-Dartmouth,State,"$43,200.00 ","$77,700.00 ","$43,300.00 ","$56,200.00 ","$107,000.00 ","$132,000.00 ",41.62869,-71.004552
Montana State University-Bozeman,State,"$46,600.00 ","$77,500.00 ","$40,200.00 ","$58,100.00 ","$111,000.00 ","$151,000.00 ",45.666726,-111.048812
State University of New York-Oneonta,State,"$37,500.00 ","$76,700.00 ","$40,000.00 ","$54,300.00 ","$97,700.00 ","$155,000.00 ",42.468861,-75.063632
University of Louisiana-Lafayette,State,"$41,100.00 ","$76,300.00 ","$42,000.00 ","$54,500.00 ","$107,000.00 ","$163,000.00 ",30.212191,-92.020165
State University of New York-Plattsburgh,State,"$40,800.00 ","$76,200.00 ","$38,400.00 ","$54,100.00 ","$105,000.00 ","$136,000.00 ",44.69293,-73.466536
Wayne State University,State,"$42,800.00 ","$76,100.00 ","$40,100.00 ","$56,200.00 ","$101,000.00 ","$139,000.00 ",42.358994,-83.068998
University of Hawaii,State,"$43,800.00 ","$76,000.00 ","$40,400.00 ","$56,300.00 ","$104,000.00 ","$128,000.00 ",19.701189,-155.080847
University of Toledo,State,"$43,100.00 ","$75,900.00 ","$40,100.00 ","$54,100.00 ","$100,000.00 ","$133,000.00 ",41.660572,-83.614714
Florida International University,State,"$43,200.00 ","$75,500.00 ","$40,500.00 ","$55,800.00 ","$98,200.00 ","$136,000.00 ",25.75732,-80.373928
University of Wisconsin-Whitewater,State,"$40,800.00 ","$75,500.00 ","$38,200.00 ","$53,500.00 ","$99,300.00 ","$150,000.00 ",42.835563,-88.742368
Western Washington University,State,"$42,700.00 ","$75,400.00 ","$41,300.00 ","$56,700.00 ","$99,200.00 ","$119,000.00 ",48.737812,-122.485734
Minnesota State University-Mankato,State,"$43,300.00 ","$74,700.00 ","$39,500.00 ","$53,800.00 ","$95,700.00 ","$140,000.00 ",44.146712,-93.99945
University of Tennessee,State,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 ",35.952082,-83.925852
University of Wisconsin-Milwaukee,State,"$42,300.00 ","$74,600.00 ","$40,600.00 ","$54,000.00 ","$93,700.00 ","$123,000.00 ",43.076848,-87.880488
University of Arkansas-Monticello,State,"$39,200.00 ","$74,500.00 ","$32,800.00 ","$46,100.00 ","$110,000.00 ","$161,000.00 ",33.590909,-91.811153
Penn State-Harrisburg,State,"$45,700.00 ","$74,000.00 ","$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 ",40.203766,-76.7423
University of North Carolina-Charlotte,State,"$43,100.00 ","$74,000.00 ","$38,200.00 ","$53,200.00 ","$99,500.00 ","$133,000.00 ",35.306022,-80.730919
Georgia State University,State,"$41,800.00 ","$74,000.00 ","$43,000.00 ","$55,300.00 ","$99,900.00 ","$145,000.00 ",33.7527,-84.38667
Western Michigan University,State,"$42,300.00 ","$73,800.00 ","$40,100.00 ","$52,500.00 ","$103,000.00 ","$135,000.00 ",42.282194,-85.613759
South Dakota State University,State,"$41,100.00 ","$73,500.00 ","$34,100.00 ","$49,900.00 ","$99,400.00 ","$129,000.00 ",44.317485,-96.782139
Idaho State University,State,"$44,900.00 ","$73,400.00 ","$35,400.00 ","$49,600.00 ","$101,000.00 ","$143,000.00 ",42.863832,-112.432312
Ohio University,State,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 ",39.326798,-82.100985
Illinois State University,State,"$42,000.00 ","$73,400.00 ","$39,100.00 ","$55,200.00 ","$105,000.00 ","$142,000.00 ",40.509403,-88.990058
Cleveland State University,State,"$43,500.00 ","$73,100.00 ","$39,500.00 ","$51,600.00 ","$97,000.00 ","$137,000.00 ",41.502281,-81.674355
Florida State University,State,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 ",30.440756,-84.291921
University of Alaska-Anchorage,State,"$45,900.00 ","$72,600.00 ","$39,800.00 ","$56,600.00 ","$99,300.00 ","$137,000.00 ",61.190163,-149.82619
Fitchburg State College,State,"$42,400.00 ","$72,600.00 ","$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 ",42.588298,-71.789666
University of Nebraska-Omaha,State,"$41,500.00 ","$72,600.00 ","$39,500.00 ","$54,400.00 ","$97,400.00 ","$126,000.00 ",41.258769,-96.008516
Southern Illinois University Carbondale,State,"$43,000.00 ","$72,500.00 ","$38,300.00 ","$51,300.00 ","$99,300.00 ","$139,000.00 ",37.714193,-89.217273
University of Texas-El Paso,State,"$43,400.00 ","$72,100.00 ","$37,700.00 ","$50,400.00 ","$99,500.00 ","$133,000.00 ",31.77015,-106.504098
California State University-Dominguez Hills,State,"$42,700.00 ","$72,100.00 ","$30,800.00 ","$47,000.00 ","$92,200.00 ","$132,000.00 ",33.864766,-118.255917
University Of Maine,State,"$41,200.00 ","$72,100.00 ","$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 ",44.899257,-68.669332
Eastern Michigan University,State,"$40,300.00 ","$72,100.00 ","$37,900.00 ","$52,800.00 ","$95,400.00 ","$135,000.00 ",42.24694,-83.622501
Bowling Green State University,State,"$39,800.00 ","$72,100.00 ","$38,200.00 ","$51,800.00 ","$101,000.00 ","$146,000.00 ",41.375513,-83.640896
University of Montana,State,"$37,300.00 ","$71,900.00 ","$37,000.00 ","$51,500.00 ","$96,400.00 ","$138,000.00 ",46.859312,-113.982912
University of Central Florida,State,"$42,600.00 ","$71,700.00 ","$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 ",28.602159,-81.200889
University of South Carolina,State,"$40,000.00 ","$71,700.00 ","$36,300.00 ","$49,900.00 ","$98,400.00 ","$131,000.00 ",34.717771,-81.621042
University of Nevada-Las Vegas,State,"$45,200.00 ","$71,600.00 ","$39,000.00 ","$52,400.00 ","$100,000.00 ","$128,000.00 ",36.106047,-115.138462
St Cloud State University,State,"$41,800.00 ","$71,400.00 ","$38,700.00 ","$49,400.00 ","$101,000.00 ","$126,000.00 ",45.553227,-94.152657
University of Wisconsin-Parkside,State,"$40,700.00 ","$71,400.00 ","$40,900.00 ","$53,100.00 ","$84,900.00 ","$119,000.00 ",42.647718,-87.855231
California State University-Stanislaus,State,"$38,000.00 ","$71,400.00 ","$33,700.00 ","$50,500.00 ","$94,100.00 ","$121,000.00 ",37.52577,-120.852511
Humboldt State University,State,"$42,600.00 ","$71,300.00 ","$36,000.00 ","$56,300.00 ","$94,400.00 ","$117,000.00 ",40.877481,-124.078293
Florida Atlantic University,State,"$42,600.00 ","$71,100.00 ","$40,700.00 ","$53,000.00 ","$99,500.00 ","$137,000.00 ",26.372421,-80.102978
University of South Florida,State,"$41,100.00 ","$71,100.00 ","$39,600.00 ","$51,500.00 ","$98,100.00 ","$131,000.00 ",28.061458,-82.413232
Portland State University,State,"$42,600.00 ","$70,900.00 ","$40,700.00 ","$52,300.00 ","$94,400.00 ","$123,000.00 ",45.511601,-122.686289
Eastern Washington University,State,"$38,600.00 ","$70,900.00 ","$36,000.00 ","$50,500.00 ","$93,100.00 ","$117,000.00 ",47.490667,-117.583808
University of Texas-San Antonio,State,"$42,500.00 ","$70,700.00 ","$39,100.00 ","$49,800.00 ","$92,700.00 ","$121,000.00 ",29.583709,-98.620657
University of Akron,State,"$41,100.00 ","$70,300.00 ","$40,600.00 ","$53,300.00 ","$95,200.00 ","$127,000.00 ",41.078551,-81.511679
State University of New York-Potsdam,State,"$38,000.00 ","$70,300.00 ","$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 ",44.662148,-74.973815
University of Alabama-Birmingham,State,"$39,200.00 ","$70,100.00 ","$43,000.00 ","$53,400.00 ","$91,400.00 ","$125,000.00 ",33.505697,-86.799345
University of Memphis,State,"$41,400.00 ","$69,700.00 ","$36,100.00 ","$49,100.00 ","$93,500.00 ","$127,000.00 ",35.118878,-89.938068
Boise State University,State,"$40,800.00 ","$69,500.00 ","$37,400.00 ","$48,700.00 ","$87,500.00 ","$110,000.00 ",43.604284,-116.203301
Missouri State University,State,"$36,100.00 ","$69,500.00 ","$33,300.00 ","$46,900.00 ","$102,000.00 ","$134,000.00 ",36.729574,-91.857838
University of Wisconsin-La Crosse,State,"$42,200.00 ","$69,300.00 ","$37,500.00 ","$47,200.00 ","$93,100.00 ","$133,000.00 ",43.81568,-91.23186
Appalachian State University,State,"$40,400.00 ","$69,100.00 ","$37,200.00 ","$50,400.00 ","$90,800.00 ","$115,000.00 ",36.215536,-81.680583
Virginia Commonwealth University,State,"$42,000.00 ","$68,400.00 ","$37,400.00 ","$51,900.00 ","$100,000.00 ","$123,000.00 ",37.54962,-77.452697
University of Wisconsin-Stout,State,"$43,600.00 ","$68,300.00 ","$40,900.00 ","$50,600.00 ","$91,600.00 ","$136,000.00 ",44.873187,-91.926653
East Carolina University,State,"$40,200.00 ","$67,500.00 ","$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 ",35.607186,-77.368291
Utah Valley State College,State,"$42,400.00 ","$67,100.00 ","$27,000.00 ","$44,100.00 ","$84,900.00 ","$110,000.00 ",40.281078,-111.716456
University of Missouri-St Louis,State,"$41,400.00 ","$67,100.00 ","$36,800.00 ","$49,600.00 ","$97,600.00 ","$144,000.00 ",38.710312,-90.311091
Western Carolina University,State,"$36,900.00 ","$66,600.00 ","$39,000.00 ","$49,500.00 ","$94,400.00 ","$133,000.00 ",35.308979,-83.186258
University of Wisconsin-Oshkosh,State,"$39,300.00 ","$66,400.00 ","$37,700.00 ","$49,700.00 ","$90,100.00 ","$138,000.00 ",44.026206,-88.549369
State University of New York-Fredonia,State,"$37,800.00 ","$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 ",42.452236,-79.337375
University of Missouri-Kansas City,State,"$38,900.00 ","$65,800.00 ","$36,300.00 ","$48,100.00 ","$95,800.00 ","$124,000.00 ",39.034179,-94.582141
University of Wisconsin-Eau Claire,State,"$41,400.00 ","$64,800.00 ","$35,000.00 ","$47,300.00 ","$93,100.00 ","$125,000.00 ",44.798284,-91.501906
Ball State University,State,"$39,100.00 ","$64,500.00 ","$35,500.00 ","$48,200.00 ","$89,300.00 ","$128,000.00 ",40.203431,-85.409043
University of North Carolina-Wilmington,State,"$37,500.00 ","$64,400.00 ","$32,100.00 ","$46,600.00 ","$97,100.00 ","$129,000.00 ",34.225223,-77.875527
University of Wisconsin-Stevens Point,State,"$39,800.00 ","$64,000.00 ","$38,400.00 ","$45,100.00 ","$95,400.00 ","$128,000.00 ",44.529582,-89.570934
University of Southern Maine,State,"$39,400.00 ","$63,600.00 ","$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 ",43.662863,-70.274247
Arkansas State University,State,"$38,700.00 ","$63,300.00 ","$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 ",35.842388,-90.679988
Kent State University,State,"$38,700.00 ","$62,600.00 ","$36,100.00 ","$45,800.00 ","$87,000.00 ","$124,000.00 ",41.888296,-80.830377
Tarleton State University,State,"$40,800.00 ","$62,400.00 ","$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 ",32.214988,-98.214866
University of Wisconsin-Green Bay,State,"$35,800.00 ","$60,600.00 ","$35,500.00 ","$46,800.00 ","$81,800.00 ","$102,000.00 ",44.532298,-87.919973
Morehead State University,State,"$34,800.00 ","$60,600.00 ","$34,300.00 ","$46,500.00 ","$72,000.00 ","$91,300.00 ",38.186768,-83.434021
Austin Peay State University,State,"$37,700.00 ","$59,200.00 ","$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 ",36.533319,-87.354081
Pittsburg State University,State,"$40,400.00 ","$58,200.00 ","$25,600.00 ","$46,000.00 ","$84,600.00 ","$117,000.00 ",37.392071,-94.702473
Southern Utah University,State,"$41,900.00 ","$56,500.00 ","$30,700.00 ","$39,700.00 ","$78,400.00 ","$116,000.00 ",37.674617,-113.070146
Montana State University-Billings,State,"$37,900.00 ","$50,600.00 ","$22,600.00 ","$31,800.00 ","$78,500.00 ","$98,900.00 ",45.796896,-108.523009
Black Hills State University,State,"$35,300.00 ","$43,900.00 ","$27,000.00 ","$32,200.00 ","$60,900.00 ","$87,600.00 ",44.494889,-103.870966
