Index,Region,start_mean,mid_career_mean
0,California,51032.142857142855,93132.14285714286
1,Midwestern,44225.35211267605,78180.28169014085
2,Northeastern,48496.0,91352.0
3,Southern,44521.51898734177,79505.06329113925
4,Western,44414.28571428572,78200.0
